"PRIVACY_LINK_URL","http://www.trustedshops.eu/legal-notice-privacy.html"
"PRIVACY_LINK_HINT","Trustedshops Privacy"
"PRIVACY_LINK_LABEL","Details"
"RATE_NOW_URL","https://www.trustedshops.com/buyerrating/rate_%s.html"
"RATE_LATER_URL","https://www.trustedshops.com/reviews/rateshoplater.php"
"RATE_NOL_HEADER","Thanks for having purchased at %s. Were you satisfied with our service? Please write a review and rate us."
"RATE_NOW_LINK_LABEL","Rate shop now"
"RATE_LATER_LINK_LABEL","Rate shop later"
"RATE_NOL_LEGAL","Yes, I would like to "rate my purchase later" and receive a one-off e-mail from Trusted Shops after %s days reminding me to submit my rating (%s)."
"TB_CODE_SNIPPET_LINK_TEXT","To generate the code snippet follow this %s"
"TB_CODE_SNIPPET_LINK_LABEL","link"
"REGISTRATION_LINK_URL","http://www.trustedshops.com/merchants/membership.html"
"REGISTRATION_LINK_LABEL","Apply now!"
"images/trustedrating/seal_rating_en.jpg","images/trustedrating/seal_rating_gb.png"