"PRIVACY_LINK_URL","http://www.trustedshops.fr/mentions-legales.html"
"PRIVACY_LINK_HINT","Politique de confidentialité Trustedshops"
"PRIVACY_LINK_LABEL","Détails"
"RATE_NOW_URL","https://www.trustedshops.com/evaluation/evaluer_%s.html"
"RATE_LATER_URL","https://www.trustedshops.com/reviews/rateshoplater.php"
"RATE_NOL_HEADER","Merci pour votre achat sur %s. Êtes vous satisfait de notre service ? Vous pouvez nous donner votre avis et nous noter."
"RATE_NOW_LINK_LABEL","Évaluer la boutique maintenant"
"RATE_LATER_LINK_LABEL","Évaluer la boutique plus tard"
"RATE_NOL_LEGAL","Oui, je souhaite noter mon achat plus tard et recevoir un e-mail de rappel de la part de Trusted Shops apres %s jours, afin de me rappeler de soumettre mon évaluation (%s).."
"TB_CODE_SNIPPET_LINK_TEXT","Pour générer le code, suivez ce %s"
"TB_CODE_SNIPPET_LINK_LABEL","lien"
"REGISTRATION_LINK_URL","http://www.trustedshops.fr/"
"REGISTRATION_LINK_LABEL","S'enregistrer maintenant !"
"images/trustedrating/seal_rating_en.jpg","images/trustedrating/seal_rating_fr.png"